('https-//m.vk.com/wall-147845620_351220', Fraction(661, 1433040))
('https-//m.vk.com/artist/marygu', Fraction(8788757, 10982609575))
('https-//m.vk.com/vkmusic/playlist', Fraction(1277, 3070800))
('https-//vk.com/bugs', Fraction(137, 277225))
('https-//vk.com/jobs/331', Fraction(83, 81035))
('https-//m.vk.com/@vkteam-tech-talks', Fraction(509, 1940575))
('https-//vk.com/jobs/359', Fraction(83, 81035))
('https-//m.vk.com/photo-19542789_457343902', Fraction(7, 12795))
('https-//m.vk.com/artist/beachbunny', Fraction(64303, 63804400))
('https-//vk.com/jobs/364', Fraction(83, 81035))
('https-//vk.com/jobs/329', Fraction(83, 81035))
('https-//m.vk.com/artist/yolka', Fraction(9749, 11259600))
('https-//vk.com/jobs/363', Fraction(83, 81035))
('https-//vk.com/jobs/407', Fraction(83, 81035))
('https-//m.vk.com/eda', Fraction(167, 507535))
('https-//m.vk.com/vkteam/vktech', Fraction(181, 447825))
('https-//m.vk.com/elnara', Fraction(3892, 5565825))
('https-//vk.com/jobs/333', Fraction(83, 81035))
('https-//m.vk.com/vkdonut', Fraction(102, 208985))
('https-//m.vk.com/artist/imanbek', Fraction(8788757, 10982609575))
('https-//m.vk.com/@business', Fraction(43, 74211))
('https-//m.vk.com/wall-194351072_14235', Fraction(307, 754905))
('https-//m.vk.com/@vkmusic-subscription', Fraction(23, 40944))
('https-//m.vk.com/photo-147415323_457245461', Fraction(13, 29855))
('https-//m.vk.com/photo-19542789_457350342', Fraction(426, 618425))
('https-//m.vk.com/artist/archi', Fraction(4449788, 4706832675))
('https-//m.vk.com/artist/yuna_mtu4otkwmzi1nw', Fraction(2663, 3753200))
('https-//m.vk.com/artist/tridnyadozhdya', Fraction(875243, 941366535))
('https-//m.vk.com/photo-19542789_457351160', Fraction(3892, 5565825))
('https-//m.vk.com/artist/rengemiyauchi', Fraction(8788757, 10982609575))
('https-//m.vk.com/photo-147415323_457244907', Fraction(13, 12795))
('https-//m.vk.com/artist/emmaruthrundle', Fraction(151653, 164948875))
('https-//m.vk.com/artist/haru_', Fraction(8788757, 10982609575))
('https-//m.vk.com/artist/rakhim', Fraction(21664032, 10982609575))
('https-//vk.com/jobs/360', Fraction(83, 81035))
('https-//m.vk.com/artist/soda', Fraction(8788757, 10982609575))
('https-//vk.com/jobs/328', Fraction(83, 81035))
('https-//m.vk.com/fave', Fraction(11703685223, 4376697620400))
('https-//m.vk.com/albums-147415323', Fraction(107, 149275))
('https-//m.vk.com/wall53448_9404', Fraction(13, 12795))
('https-//m.vk.com/artist/rockettothesky', Fraction(112978, 164948875))
('https-//m.vk.com/artist/showmethebody', Fraction(51383, 63804400))
('https-//m.vk.com/photo-19542789_457350341', Fraction(3562, 4328975))
('https-//m.vk.com/artist/ohland', Fraction(416284, 494846625))
('https-//m.vk.com/artist/khabib', Fraction(8788757, 10982609575))
('https-//m.vk.com/artist/themojos', Fraction(21962, 32989775))
('https-//m.vk.com/artist/the_score', Fraction(21962, 32989775))
('https-//m.vk.com/artist/hanna', Fraction(8788757, 10982609575))
('https-//m.vk.com/wall-147415323_9197', Fraction(3294, 9702875))
('https-//m.vk.com/artist/fountainsofwayne', Fraction(21962, 32989775))
('https-//m.vk.com/@tech-programma-kursa-vk-tech-lessons', Fraction(509, 1940575))
('https-//m.vk.com/artist/agunda', Fraction(8788757, 10982609575))
('https-//m.vk.com/artist/theantlers', Fraction(58863, 63804400))
('https-//m.vk.com/artist/alchemist_mtu1odi0oti1na', Fraction(51383, 63804400))
('https-//m.vk.com/artist/blackmidi', Fraction(51383, 63804400))
('https-//new.vk.com/dev/vk_apps_docs', Fraction(30083951, 24556036050))
('https-//new.vk.com/dev', Fraction(2948854687, 270116396550))
('https-//vk.com/ads', Fraction(653942, 192116925))
('https-//m.vk.com/ae_app', Fraction(167, 507535))
('https-//m.vk.com/@vkteam-vezdekod', Fraction(509, 1940575))
('https-//new.vk.com/dev/communities', Fraction(30083951, 24556036050))
('https-//vk.com/doc333524120_582359083', Fraction(1, 3412))
('https-//m.vk.com/artist/ricwilson', Fraction(58863, 63804400))
('https-//m.vk.com/artist/birdsoftokyo', Fraction(416284, 494846625))
('https-//m.vk.com/off_fogel', Fraction(38597, 41519775))
('https-//m.vk.com/wall-62672621_8286', Fraction(16, 21325))
('https-//m.vk.com/@vkmusic', Fraction(23, 40944))
('https-//m.vk.com/photo-194351072_457239018', Fraction(7, 12795))
('https-//m.vk.com/docs', Fraction(1348, 3262725))
('https-//m.vk.com/artist/obstoyatelstva', Fraction(81356, 98969325))
('https-//m.vk.com/artist/nomy', Fraction(81356, 98969325))
('https-//m.vk.com/artist/egorship', Fraction(21216161, 32947828725))
('https-//m.vk.com/vdnh', Fraction(2857, 5284335))
('https-//m.vk.com/basta', Fraction(24847, 33778800))
('https-//m.vk.com/artist/homeiswhere', Fraction(51383, 63804400))
('https-//m.vk.com/artist/mariuszduda', Fraction(151653, 164948875))
('https-//m.vk.com/artist/agnesobel', Fraction(725684, 494846625))
('https-//vk.com/video-22822305_456239670', Fraction(91, 123685))
('https-//m.vk.com/artist/thexx', Fraction(81356, 98969325))
('https-//m.vk.com/artist/o_brother', Fraction(112978, 164948875))
('https-//m.vk.com/artist/iamamiwhoami', Fraction(416284, 494846625))
('https-//m.vk.com/artist/agentfresco', Fraction(416284, 494846625))
('https-//vk.com/video-22822305_456239538', Fraction(43, 74211))
('https-//m.vk.com/artist/basta', Fraction(35407, 33778800))
('https-//m.vk.com/artist/madonna', Fraction(79939, 55888560))
('https-//vk.com/donut', Fraction(48, 65681))
('https-//m.vk.com/artist/mogwai', Fraction(258869, 191413200))
('https-//m.vk.com/artist/kesha', Fraction(81356, 98969325))
('https-//m.vk.com/artist/wovenhand', Fraction(416284, 494846625))
('https-//m.vk.com/wall-147845620_351903', Fraction(4469, 11259600))
('https-//new.vk.com/apps', Fraction(2906632507, 270116396550))
('https-//vk.com/video-147415323_456239094', Fraction(91, 123685))
('https-//m.vk.com/artist/bellorchestre', Fraction(51383, 63804400))
('https-//m.vk.com/artist/warrenellis', Fraction(51383, 63804400))
('https-//m.vk.com/artist/xambassadors', Fraction(81356, 98969325))
('http-//vk.com', Fraction(143, 63975))
('https-//m.vk.com/wall-147845620_352194', Fraction(27523, 55888560))
('https-//m.vk.com/vkmusic/curators', Fraction(287, 1023600))
('https-//new.vk.com/dev/_objects_button_close_internal', Fraction(30083951, 24556036050))
('https-//m.vk.com/wall53448_9398', Fraction(11, 12795))
('https-//m.vk.com/artist/shame', Fraction(51383, 63804400))
('https-//vk.com/wall-76477496_127723', Fraction(151, 208985))
('https-//vk.com/videos-62672621', Fraction(62, 149275))
('https-//vk.com/videos-20012308', Fraction(157, 388115))
('https-//m.vk.com/musicviking', Fraction(28943, 63804400))
('https-//m.vk.com/artist/theholdsteady', Fraction(51383, 63804400))
('https-//m.vk.com/zemfira', Fraction(829, 1433040))
('https-//m.vk.com/wall-62672621_9293', Fraction(11, 21325))
('https-//m.vk.com/feed', Fraction(174148259, 31199788620))
('https-//m.vk.com/topic-20012308_29763569', Fraction(97, 166335))
('https-//m.vk.com/@vkmusic-informaciya-dlya-muzykantov', Fraction(17, 68240))
('https-//vk.com/press/elibot', Fraction(4, 12795))
('https-//vk.com/video-22822305_456240661', Fraction(91, 123685))
('https-//m.vk.com/artist/weezer', Fraction(236429, 191413200))
('https-//m.vk.com/artist/deathfromabove1979', Fraction(213989, 191413200))
('https-//vk.com/photo-22822305_457308087', Fraction(67, 89565))
('https-//m.vk.com/wall-147845620_352046', Fraction(8971, 17564976))
('https-//m.vk.com/artist/lanadelrey', Fraction(82142579, 87093006000))
